X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39
89,83,39,97,95,89,100,80,80,77,72,66,79,76,0,70,13,80,13,0,0,69,0,0,0,0,74,73,0,83,76,74,0,0,85,83,0,2,86
90,72,97,89,97,87,101,87,72,91,49,77,76,71,0,70,89,42,80,0,0,67,0,0,0,0,74,84,0,78,78,76,0,0,82,79,0,9,9
89,79,85,94,91,82,89,9,62,85,81,67,65,67,0,68,90,81,76,0,0,73,0,0,0,0,68,74,0,89,83,75,0,0,53,70,0,4,0
85,88,170,70,89,95,93,0,81,94,28,58,76,2,0,77,82,80,78,0,0,75,0,0,0,0,35,84,0,76,76,82,0,60,87,31,0,0,0
28,91,92,91,89,88,95,0,76,90,0,77,75,0,0,72,78,79,81,0,0,59,0,0,0,30,0,86,0,86,84,81,0,86,74,94,0,1,0
0,96,79,86,81,94,93,0,77,74,60,61,88,0,0,81,72,85,84,0,0,76,0,0,50,69,0,9,0,78,82,47,2,89,25,71,0,0,0
0,84,89,36,76,84,100,0,78,85,74,71,61,0,0,75,80,10,66,0,0,75,0,0,71,65,0,4,0,21,87,69,2,79,83,84,0,0,0
0,84,90,73,92,86,90,0,17,90,71,70,58,0,0,36,84,0,81,0,0,1,0,0,76,72,0,4,0,87,75,73,1,78,67,90,0,0,0
0,92,92,90,82,73,93,0,0,82,65,73,72,4,0,0,82,0,52,0,0,11,0,0,66,68,10,60,0,82,45,24,0,79,80,43,0,1,0
0,86,2,100,92,88,91,0,0,80,75,62,81,5,0,0,82,40,77,0,0,2,0,0,72,67,5,79,0,78,85,0,1,80,68,74,0,15,1
0,78,0,86,82,32,102,0,0,84,63,81,75,11,0,0,76,86,67,0,0,3,0,0,77,70,0,12,7,87,79,0,1,86,68,73,0,6,1
0,79,0,54,55,0,90,56,22,83,83,79,84,0,0,0,79,84,75,0,0,3,0,0,63,79,6,60,75,80,76,0,26,68,77,78,0,1,0
0,53,0,88,91,0,99,89,68,13,80,73,79,0,0,0,77,83,72,0,0,4,0,0,78,77,5,82,69,73,86,0,8,73,79,81,0,1,0
13,42,0,93,92,0,90,82,85,0,30,77,44,24,0,0,78,83,83,0,0,8,0,0,59,72,0,84,70,79,74,0,0,81,45,86,0,26,0
92,96,0,74,64,0,95,61,78,0,19,76,81,76,0,0,0,84,24,0,0,1,0,0,84,74,1,68,71,82,44,2,0,88,0,66,0,6,0
97,61,0,0,83,0,98,81,79,18,68,53,81,70,0,0,0,84,0,0,0,4,0,0,69,67,0,69,79,70,34,0,0,80,0,81,0,0,0
49,91,0,0,88,0,101,87,95,59,76,0,76,70,0,0,0,89,0,0,0,0,0,0,81,77,0,92,86,77,82,1,0,82,0,82,0,0,0
73,90,0,12,83,0,84,76,66,75,47,2,82,74,0,0,0,83,0,0,0,0,0,0,75,70,0,1,73,54,82,12,0,80,0,50,0,0,0
83,87,0,102,80,0,94,85,84,67,73,0,70,76,0,0,0,91,0,0,0,0,0,0,70,72,0,0,86,75,78,1,0,78,0,44,0,0,80
81,85,0,90,87,0,92,77,85,70,73,8,0,72,0,0,0,89,0,0,0,0,0,0,53,66,0,0,72,82,88,0,0,82,0,81,0,0,96
91,86,0,97,72,0,65,83,79,71,16,71,0,58,0,0,0,60,0,0,0,0,0,0,71,79,0,0,80,76,89,20,0,70,0,74,0,0,85
80,86,0,101,77,0,94,83,78,68,8,75,0,68,0,5,0,57,0,0,0,0,0,0,35,73,0,0,78,85,31,71,0,85,0,74,0,0,83
3,40,52,87,83,0,97,76,81,30,77,59,0,82,0,64,0,86,45,0,0,0,0,5,12,70,0,0,86,74,78,33,0,53,0,87,0,0,78
93,97,87,82,91,1,101,82,59,29,79,76,0,24,0,65,3,86,62,0,0,0,0,0,5,59,0,0,73,85,84,76,0,57,0,76,0,2,78
108,87,85,96,82,0,87,82,0,60,76,78,0,78,0,0,9,85,46,0,0,0,0,0,0,43,1,0,47,59,72,78,0,65,3,81,0,25,83
91,78,92,94,88,25,100,72,68,75,87,76,0,52,0,44,15,90,55,0,0,0,0,0,0,75,0,0,0,76,78,86,0,83,24,6,0,79,79
